backbone.layers.4.6.expand_conv.bn.running_mean	(816,)
backbone.layers.4.6.expand_conv.bn.running_var	(816,)
backbone.layers.4.6.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.6.depthwise_conv.conv.weight	(816, 1, 5, 5)
backbone.layers.4.6.depthwise_conv.bn.weight	(816,)
backbone.layers.4.6.depthwise_conv.bn.bias	(816,)
backbone.layers.4.6.depthwise_conv.bn.running_mean	(816,)
backbone.layers.4.6.depthwise_conv.bn.running_var	(816,)
backbone.layers.4.6.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.6.se.conv1.conv.weight	(34, 816, 1, 1)
backbone.layers.4.6.se.conv1.conv.bias	(34,)
backbone.layers.4.6.se.conv2.conv.weight	(816, 34, 1, 1)
backbone.layers.4.6.se.conv2.conv.bias	(816,)
backbone.layers.4.6.linear_conv.conv.weight	(136, 816, 1, 1)
backbone.layers.4.6.linear_conv.bn.weight	(136,)
backbone.layers.4.6.linear_conv.bn.bias	(136,)
backbone.layers.4.6.linear_conv.bn.running_mean	(136,)
backbone.layers.4.6.linear_conv.bn.running_var	(136,)
backbone.layers.4.6.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.7.expand_conv.conv.weight	(816, 136, 1, 1)
backbone.layers.4.7.expand_conv.bn.weight	(816,)
backbone.layers.4.7.expand_conv.bn.bias	(816,)
backbone.layers.4.7.expand_conv.bn.running_mean	(816,)
backbone.layers.4.7.expand_conv.bn.running_var	(816,)
backbone.layers.4.7.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.7.depthwise_conv.conv.weight	(816, 1, 5, 5)
backbone.layers.4.7.depthwise_conv.bn.weight	(816,)
backbone.layers.4.7.depthwise_conv.bn.bias	(816,)
backbone.layers.4.7.depthwise_conv.bn.running_mean	(816,)
backbone.layers.4.7.depthwise_conv.bn.running_var	(816,)
backbone.layers.4.7.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.7.se.conv1.conv.weight	(34, 816, 1, 1)
backbone.layers.4.7.se.conv1.conv.bias	(34,)
backbone.layers.4.7.se.conv2.conv.weight	(816, 34, 1, 1)
backbone.layers.4.7.se.conv2.conv.bias	(816,)
backbone.layers.4.7.linear_conv.conv.weight	(136, 816, 1, 1)
backbone.layers.4.7.linear_conv.bn.weight	(136,)
backbone.layers.4.7.linear_conv.bn.bias	(136,)
backbone.layers.4.7.linear_conv.bn.running_mean	(136,)
backbone.layers.4.7.linear_conv.bn.running_var	(136,)
backbone.layers.4.7.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.8.expand_conv.conv.weight	(816, 136, 1, 1)
backbone.layers.4.8.expand_conv.bn.weight	(816,)
backbone.layers.4.8.expand_conv.bn.bias	(816,)
backbone.layers.4.8.expand_conv.bn.running_mean	(816,)
backbone.layers.4.8.expand_conv.bn.running_var	(816,)
backbone.layers.4.8.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.8.depthwise_conv.conv.weight	(816, 1, 5, 5)
backbone.layers.4.8.depthwise_conv.bn.weight	(816,)
backbone.layers.4.8.depthwise_conv.bn.bias	(816,)
backbone.layers.4.8.depthwise_conv.bn.running_mean	(816,)
backbone.layers.4.8.depthwise_conv.bn.running_var	(816,)
backbone.layers.4.8.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.8.se.conv1.conv.weight	(34, 816, 1, 1)
backbone.layers.4.8.se.conv1.conv.bias	(34,)
backbone.layers.4.8.se.conv2.conv.weight	(816, 34, 1, 1)
backbone.layers.4.8.se.conv2.conv.bias	(816,)
backbone.layers.4.8.linear_conv.conv.weight	(136, 816, 1, 1)
backbone.layers.4.8.linear_conv.bn.weight	(136,)
backbone.layers.4.8.linear_conv.bn.bias	(136,)
backbone.layers.4.8.linear_conv.bn.running_mean	(136,)
backbone.layers.4.8.linear_conv.bn.running_var	(136,)
backbone.layers.4.8.linear_conv.bn.num_batches_tracked	()
backbone.layers.4.9.expand_conv.conv.weight	(816, 136, 1, 1)
backbone.layers.4.9.expand_conv.bn.weight	(816,)
backbone.layers.4.9.expand_conv.bn.bias	(816,)
backbone.layers.4.9.expand_conv.bn.running_mean	(816,)
backbone.layers.4.9.expand_conv.bn.running_var	(816,)
backbone.layers.4.9.expand_conv.bn.num_batches_tracked	()
backbone.layers.4.9.depthwise_conv.conv.weight	(816, 1, 5, 5)
backbone.layers.4.9.depthwise_conv.bn.weight	(816,)
