backbone.backbone.features_conv4_4.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_4.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_4.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_4.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_4.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_4.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_4.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_4.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_4.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_4.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_5.c1x1_a.bn.weight	(1216,)
backbone.backbone.features_conv4_5.c1x1_a.bn.bias	(1216,)
backbone.backbone.features_conv4_5.c1x1_a.bn.running_mean	(1216,)
backbone.backbone.features_conv4_5.c1x1_a.bn.running_var	(1216,)
backbone.backbone.features_conv4_5.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_5.c1x1_a.conv.weight	(640, 1216, 1, 1)
backbone.backbone.features_conv4_5.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_5.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_5.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_5.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_5.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_5.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_5.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_5.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_5.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_5.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_5.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_5.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_6.c1x1_a.bn.weight	(1248,)
backbone.backbone.features_conv4_6.c1x1_a.bn.bias	(1248,)
backbone.backbone.features_conv4_6.c1x1_a.bn.running_mean	(1248,)
backbone.backbone.features_conv4_6.c1x1_a.bn.running_var	(1248,)
backbone.backbone.features_conv4_6.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_6.c1x1_a.conv.weight	(640, 1248, 1, 1)
backbone.backbone.features_conv4_6.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_6.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_6.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_6.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_6.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_6.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_6.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_6.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_6.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_6.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_6.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_6.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_7.c1x1_a.bn.weight	(1280,)
backbone.backbone.features_conv4_7.c1x1_a.bn.bias	(1280,)
backbone.backbone.features_conv4_7.c1x1_a.bn.running_mean	(1280,)
backbone.backbone.features_conv4_7.c1x1_a.bn.running_var	(1280,)
backbone.backbone.features_conv4_7.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_7.c1x1_a.conv.weight	(640, 1280, 1, 1)
backbone.backbone.features_conv4_7.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_7.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_7.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_7.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_7.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_7.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_7.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_7.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_7.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_7.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_7.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_7.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_8.c1x1_a.bn.weight	(1312,)
backbone.backbone.features_conv4_8.c1x1_a.bn.bias	(1312,)
backbone.backbone.features_conv4_8.c1x1_a.bn.running_mean	(1312,)
backbone.backbone.features_conv4_8.c1x1_a.bn.running_var	(1312,)
backbone.backbone.features_conv4_8.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_8.c1x1_a.conv.weight	(640, 1312, 1, 1)
backbone.backbone.features_conv4_8.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_8.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_8.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_8.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_8.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_8.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_8.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_8.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_8.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_8.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_8.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_8.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_9.c1x1_a.bn.weight	(1344,)
backbone.backbone.features_conv4_9.c1x1_a.bn.bias	(1344,)
backbone.backbone.features_conv4_9.c1x1_a.bn.running_mean	(1344,)
backbone.backbone.features_conv4_9.c1x1_a.bn.running_var	(1344,)
backbone.backbone.features_conv4_9.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_9.c1x1_a.conv.weight	(640, 1344, 1, 1)
backbone.backbone.features_conv4_9.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_9.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_9.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_9.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_9.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_9.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_9.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_9.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_9.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_9.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_9.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_9.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_10.c1x1_a.bn.weight	(1376,)
backbone.backbone.features_conv4_10.c1x1_a.bn.bias	(1376,)
backbone.backbone.features_conv4_10.c1x1_a.bn.running_mean	(1376,)
backbone.backbone.features_conv4_10.c1x1_a.bn.running_var	(1376,)
backbone.backbone.features_conv4_10.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_10.c1x1_a.conv.weight	(640, 1376, 1, 1)
backbone.backbone.features_conv4_10.c3x3_b.bn.weight	(640,)
backbone.backbone.features_conv4_10.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_10.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_10.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_10.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_10.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_10.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_10.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_10.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_10.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_10.c1x1_c.bn.num_batches_tracked	()
backbone.backbone.features_conv4_10.c1x1_c.conv.weight	(1056, 640, 1, 1)
backbone.backbone.features_conv4_11.c1x1_a.bn.weight	(1408,)
backbone.backbone.features_conv4_11.c1x1_a.bn.bias	(1408,)
backbone.backbone.features_conv4_11.c1x1_a.bn.running_mean	(1408,)
backbone.backbone.features_conv4_11.c1x1_a.bn.running_var	(1408,)
backbone.backbone.features_conv4_11.c1x1_a.bn.num_batches_tracked	()
backbone.backbone.features_conv4_11.c1x1_a.conv.weight	(640, 1408, 1, 1)
backbone.backbone.features_conv4_11.c3x3_b.bn.weight	(640,)
