backbone.stages.3.blocks.1.attn.w_msa.qkv.bias	(2304,)
backbone.stages.3.blocks.1.attn.w_msa.proj.weight	(768, 768)
backbone.stages.3.blocks.1.attn.w_msa.proj.bias	(768,)
backbone.stages.3.blocks.1.norm2.weight	(768,)
backbone.stages.3.blocks.1.norm2.bias	(768,)
backbone.stages.3.blocks.1.ffn.layers.0.0.weight	(3072, 768)
backbone.stages.3.blocks.1.ffn.layers.0.0.bias	(3072,)
backbone.stages.3.blocks.1.ffn.layers.1.weight	(768, 3072)
backbone.stages.3.blocks.1.ffn.layers.1.bias	(768,)
backbone.norm0.weight	(96,)
backbone.norm0.bias	(96,)
backbone.norm1.weight	(192,)
backbone.norm1.bias	(192,)
backbone.norm2.weight	(384,)
backbone.norm2.bias	(384,)
backbone.norm3.weight	(768,)
backbone.norm3.bias	(768,)
decode_head.pixel_decoder.input_convs.0.conv.weight	(256, 768, 1, 1)
decode_head.pixel_decoder.input_convs.0.conv.bias	(256,)
decode_head.pixel_decoder.input_convs.0.gn.weight	(256,)
decode_head.pixel_decoder.input_convs.0.gn.bias	(256,)
decode_head.pixel_decoder.input_convs.1.conv.weight	(256, 384, 1, 1)
decode_head.pixel_decoder.input_convs.1.conv.bias	(256,)
decode_head.pixel_decoder.input_convs.1.gn.weight	(256,)
decode_head.pixel_decoder.input_convs.1.gn.bias	(256,)
decode_head.pixel_decoder.input_convs.2.conv.weight	(256, 192, 1, 1)
decode_head.pixel_decoder.input_convs.2.conv.bias	(256,)
decode_head.pixel_decoder.input_convs.2.gn.weight	(256,)
decode_head.pixel_decoder.input_convs.2.gn.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.0.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.0.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.0.norms.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.sampling_offsets.weight	(192, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.sampling_offsets.bias	(192,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.attention_weights.weight	(96, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.attention_weights.bias	(96,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.value_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.value_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.self_attn.output_proj.weight	(256, 256)
decode_head.pixel_decoder.encoder.layers.1.self_attn.output_proj.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.0.0.weight	(1024, 256)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.1.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.1.norms.0.weight	(256,)
