decode_head.pixel_decoder.encoder.layers.5.ffn.layers.0.0.bias	(1024,)
decode_head.pixel_decoder.encoder.layers.5.ffn.layers.1.weight	(256, 1024)
decode_head.pixel_decoder.encoder.layers.5.ffn.layers.1.bias	(256,)
decode_head.pixel_decoder.encoder.layers.5.norms.0.weight	(256,)
decode_head.pixel_decoder.encoder.layers.5.norms.0.bias	(256,)
decode_head.pixel_decoder.encoder.layers.5.norms.1.weight	(256,)
decode_head.pixel_decoder.encoder.layers.5.norms.1.bias	(256,)
decode_head.pixel_decoder.level_encoding.weight	(3, 256)
decode_head.pixel_decoder.lateral_convs.0.conv.weight	(256, 256, 1, 1)
decode_head.pixel_decoder.lateral_convs.0.gn.weight	(256,)
decode_head.pixel_decoder.lateral_convs.0.gn.bias	(256,)
decode_head.pixel_decoder.output_convs.0.conv.weight	(256, 256, 3, 3)
decode_head.pixel_decoder.output_convs.0.gn.weight	(256,)
decode_head.pixel_decoder.output_convs.0.gn.bias	(256,)
decode_head.pixel_decoder.mask_feature.weight	(256, 256, 1, 1)
decode_head.pixel_decoder.mask_feature.bias	(256,)
decode_head.transformer_decoder.layers.0.self_attn.attn.in_proj_weight	(768, 256)
decode_head.transformer_decoder.layers.0.self_attn.attn.in_proj_bias	(768,)
decode_head.transformer_decoder.layers.0.self_attn.attn.out_proj.weight	(256, 256)
decode_head.transformer_decoder.layers.0.self_attn.attn.out_proj.bias	(256,)
decode_head.transformer_decoder.layers.0.cross_attn.attn.in_proj_weight	(768, 256)
decode_head.transformer_decoder.layers.0.cross_attn.attn.in_proj_bias	(768,)
decode_head.transformer_decoder.layers.0.cross_attn.attn.out_proj.weight	(256, 256)
decode_head.transformer_decoder.layers.0.cross_attn.attn.out_proj.bias	(256,)
decode_head.transformer_decoder.layers.0.ffn.layers.0.0.weight	(2048, 256)
decode_head.transformer_decoder.layers.0.ffn.layers.0.0.bias	(2048,)
decode_head.transformer_decoder.layers.0.ffn.layers.1.weight	(256, 2048)
decode_head.transformer_decoder.layers.0.ffn.layers.1.bias	(256,)
decode_head.transformer_decoder.layers.0.norms.0.weight	(256,)
decode_head.transformer_decoder.layers.0.norms.0.bias	(256,)
decode_head.transformer_decoder.layers.0.norms.1.weight	(256,)
decode_head.transformer_decoder.layers.0.norms.1.bias	(256,)
decode_head.transformer_decoder.layers.0.norms.2.weight	(256,)
decode_head.transformer_decoder.layers.0.norms.2.bias	(256,)
decode_head.transformer_decoder.layers.1.self_attn.attn.in_proj_weight	(768, 256)
decode_head.transformer_decoder.layers.1.self_attn.attn.in_proj_bias	(768,)
decode_head.transformer_decoder.layers.1.self_attn.attn.out_proj.weight	(256, 256)
decode_head.transformer_decoder.layers.1.self_attn.attn.out_proj.bias	(256,)
decode_head.transformer_decoder.layers.1.cross_attn.attn.in_proj_weight	(768, 256)
decode_head.transformer_decoder.layers.1.cross_attn.attn.in_proj_bias	(768,)
decode_head.transformer_decoder.layers.1.cross_attn.attn.out_proj.weight	(256, 256)
decode_head.transformer_decoder.layers.1.cross_attn.attn.out_proj.bias	(256,)
decode_head.transformer_decoder.layers.1.ffn.layers.0.0.weight	(2048, 256)
decode_head.transformer_decoder.layers.1.ffn.layers.0.0.bias	(2048,)
decode_head.transformer_decoder.layers.1.ffn.layers.1.weight	(256, 2048)
decode_head.transformer_decoder.layers.1.ffn.layers.1.bias	(256,)
decode_head.transformer_decoder.layers.1.norms.0.weight	(256,)
decode_head.transformer_decoder.layers.1.norms.0.bias	(256,)
decode_head.transformer_decoder.layers.1.norms.1.weight	(256,)
decode_head.transformer_decoder.layers.1.norms.1.bias	(256,)
decode_head.transformer_decoder.layers.1.norms.2.weight	(256,)
decode_head.transformer_decoder.layers.1.norms.2.bias	(256,)
decode_head.transformer_decoder.layers.2.self_attn.attn.in_proj_weight	(768, 256)
decode_head.transformer_decoder.layers.2.self_attn.attn.in_proj_bias	(768,)
decode_head.transformer_decoder.layers.2.self_attn.attn.out_proj.weight	(256, 256)
decode_head.transformer_decoder.layers.2.self_attn.attn.out_proj.bias	(256,)
decode_head.transformer_decoder.layers.2.cross_attn.attn.in_proj_weight	(768, 256)
decode_head.transformer_decoder.layers.2.cross_attn.attn.in_proj_bias	(768,)
decode_head.transformer_decoder.layers.2.cross_attn.attn.out_proj.weight	(256, 256)
