backbone.backbone.stages_2.blocks.4.e_mhsa.k.weight	(384, 384)
backbone.backbone.stages_2.blocks.4.e_mhsa.k.bias	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.v.weight	(384, 384)
backbone.backbone.stages_2.blocks.4.e_mhsa.v.bias	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.proj.weight	(384, 384)
backbone.backbone.stages_2.blocks.4.e_mhsa.proj.bias	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.norm.weight	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.norm.bias	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.4.e_mhsa.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.4.projection.conv.weight	(128, 384, 1, 1)
backbone.backbone.stages_2.blocks.4.projection.norm.weight	(128,)
backbone.backbone.stages_2.blocks.4.projection.norm.bias	(128,)
backbone.backbone.stages_2.blocks.4.projection.norm.running_mean	(128,)
backbone.backbone.stages_2.blocks.4.projection.norm.running_var	(128,)
backbone.backbone.stages_2.blocks.4.projection.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.4.mhca.group_conv3x3.weight	(128, 32, 3, 3)
backbone.backbone.stages_2.blocks.4.mhca.norm.weight	(128,)
backbone.backbone.stages_2.blocks.4.mhca.norm.bias	(128,)
backbone.backbone.stages_2.blocks.4.mhca.norm.running_mean	(128,)
backbone.backbone.stages_2.blocks.4.mhca.norm.running_var	(128,)
backbone.backbone.stages_2.blocks.4.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.4.mhca.projection.weight	(128, 128, 1, 1)
backbone.backbone.stages_2.blocks.4.norm2.weight	(512,)
backbone.backbone.stages_2.blocks.4.norm2.bias	(512,)
backbone.backbone.stages_2.blocks.4.norm2.running_mean	(512,)
backbone.backbone.stages_2.blocks.4.norm2.running_var	(512,)
backbone.backbone.stages_2.blocks.4.norm2.num_batches_tracked	()
backbone.backbone.stages_2.blocks.4.mlp.fc1.weight	(1024, 512, 1, 1)
backbone.backbone.stages_2.blocks.4.mlp.fc1.bias	(1024,)
backbone.backbone.stages_2.blocks.4.mlp.fc2.weight	(512, 1024, 1, 1)
backbone.backbone.stages_2.blocks.4.mlp.fc2.bias	(512,)
backbone.backbone.stages_2.blocks.5.patch_embed.conv.weight	(384, 512, 1, 1)
backbone.backbone.stages_2.blocks.5.patch_embed.norm.weight	(384,)
backbone.backbone.stages_2.blocks.5.patch_embed.norm.bias	(384,)
backbone.backbone.stages_2.blocks.5.patch_embed.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.5.patch_embed.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.5.patch_embed.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.5.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.5.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.5.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.5.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.5.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.5.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.5.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.5.norm.weight	(384,)
backbone.backbone.stages_2.blocks.5.norm.bias	(384,)
backbone.backbone.stages_2.blocks.5.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.5.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.5.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.5.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.5.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.5.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.5.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.6.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.6.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.6.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.6.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.6.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.6.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.6.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.6.norm.weight	(384,)
backbone.backbone.stages_2.blocks.6.norm.bias	(384,)
backbone.backbone.stages_2.blocks.6.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.6.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.6.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.6.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.6.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.6.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.6.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.7.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.7.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.7.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.7.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.7.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.7.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.7.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.7.norm.weight	(384,)
backbone.backbone.stages_2.blocks.7.norm.bias	(384,)
backbone.backbone.stages_2.blocks.7.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.7.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.7.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.7.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.7.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.7.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.7.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.8.mhca.group_conv3x3.weight	(384, 32, 3, 3)
backbone.backbone.stages_2.blocks.8.mhca.norm.weight	(384,)
backbone.backbone.stages_2.blocks.8.mhca.norm.bias	(384,)
backbone.backbone.stages_2.blocks.8.mhca.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.8.mhca.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.8.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.8.mhca.projection.weight	(384, 384, 1, 1)
backbone.backbone.stages_2.blocks.8.norm.weight	(384,)
backbone.backbone.stages_2.blocks.8.norm.bias	(384,)
backbone.backbone.stages_2.blocks.8.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.8.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.8.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.8.mlp.fc1.weight	(1152, 384, 1, 1)
backbone.backbone.stages_2.blocks.8.mlp.fc1.bias	(1152,)
backbone.backbone.stages_2.blocks.8.mlp.fc2.weight	(384, 1152, 1, 1)
backbone.backbone.stages_2.blocks.8.mlp.fc2.bias	(384,)
backbone.backbone.stages_2.blocks.9.norm1.weight	(384,)
backbone.backbone.stages_2.blocks.9.norm1.bias	(384,)
backbone.backbone.stages_2.blocks.9.norm1.running_mean	(384,)
backbone.backbone.stages_2.blocks.9.norm1.running_var	(384,)
backbone.backbone.stages_2.blocks.9.norm1.num_batches_tracked	()
backbone.backbone.stages_2.blocks.9.e_mhsa.q.weight	(384, 384)
backbone.backbone.stages_2.blocks.9.e_mhsa.q.bias	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.k.weight	(384, 384)
backbone.backbone.stages_2.blocks.9.e_mhsa.k.bias	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.v.weight	(384, 384)
backbone.backbone.stages_2.blocks.9.e_mhsa.v.bias	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.proj.weight	(384, 384)
backbone.backbone.stages_2.blocks.9.e_mhsa.proj.bias	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.norm.weight	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.norm.bias	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.norm.running_mean	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.norm.running_var	(384,)
backbone.backbone.stages_2.blocks.9.e_mhsa.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.9.projection.conv.weight	(128, 384, 1, 1)
backbone.backbone.stages_2.blocks.9.projection.norm.weight	(128,)
backbone.backbone.stages_2.blocks.9.projection.norm.bias	(128,)
backbone.backbone.stages_2.blocks.9.projection.norm.running_mean	(128,)
backbone.backbone.stages_2.blocks.9.projection.norm.running_var	(128,)
backbone.backbone.stages_2.blocks.9.projection.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.9.mhca.group_conv3x3.weight	(128, 32, 3, 3)
backbone.backbone.stages_2.blocks.9.mhca.norm.weight	(128,)
backbone.backbone.stages_2.blocks.9.mhca.norm.bias	(128,)
backbone.backbone.stages_2.blocks.9.mhca.norm.running_mean	(128,)
backbone.backbone.stages_2.blocks.9.mhca.norm.running_var	(128,)
backbone.backbone.stages_2.blocks.9.mhca.norm.num_batches_tracked	()
backbone.backbone.stages_2.blocks.9.mhca.projection.weight	(128, 128, 1, 1)
backbone.backbone.stages_2.blocks.9.norm2.weight	(512,)
backbone.backbone.stages_2.blocks.9.norm2.bias	(512,)
backbone.backbone.stages_2.blocks.9.norm2.running_mean	(512,)
backbone.backbone.stages_2.blocks.9.norm2.running_var	(512,)
backbone.backbone.stages_2.blocks.9.norm2.num_batches_tracked	()
backbone.backbone.stages_2.blocks.9.mlp.fc1.weight	(1024, 512, 1, 1)
backbone.backbone.stages_2.blocks.9.mlp.fc1.bias	(1024,)
backbone.backbone.stages_2.blocks.9.mlp.fc2.weight	(512, 1024, 1, 1)
backbone.backbone.stages_2.blocks.9.mlp.fc2.bias	(512,)
